Country,Year,Data
Afghanistan,2010,45.83
Afghanistan,2005,49.37
Afghanistan,2005,49.37
Afghanistan,2005,49.37
Afghanistan,2005,49.37
Afghanistan,2005,49.37
Albania,2013,53.31
Albania,2009,50.77
Albania,2005,48.73
Albania,2001,54.95
Albania,2001,54.95
Albania,2001,54.95
Albania,2001,54.95
Albania,2001,54.95
Albania,1997,72.56
Albania,1997,72.56
Albania,1997,72.56
Albania,1997,72.56
Albania,1997,72.56
Albania,1996,89.08
Albania,1996,89.08
Albania,1996,89.08
Albania,1996,89.08
Albania,1996,89.08
Albania,1992,91.5
Albania,1992,91.5
Albania,1992,91.5
Albania,1992,91.5
Albania,1992,91.5
Albania,1991,98.92
Albania,1991,98.92
Albania,1991,98.92
Albania,1991,98.92
Albania,1991,98.92
Algeria,2012,43.14
Algeria,2007,35.51
Algeria,2007,35.51
Algeria,2002,46.17
Algeria,2002,46.17
Algeria,1997,65.6
Algeria,1997,65.6
Algeria,1991,59
Algeria,1991,59
Andorra,2015,65.62
Andorra,2011,74.12
Andorra,2009,75.34
Andorra,2005,80.38
Andorra,2001,81.64
Andorra,1997,81.59
Andorra,1993,80.92
Angola,2012,62.77
Angola,2008,87.36
Angola,1992,86.91
Anguilla,2015,73.24
Anguilla,2010,82.07
Anguilla,2005,74.49
Anguilla,2005,74.49
Anguilla,2005,74.49
Anguilla,2005,74.49
Anguilla,2005,74.49
Anguilla,2000,64.16
Anguilla,2000,64.16
Anguilla,2000,64.16
Anguilla,2000,64.16
Anguilla,2000,64.16
Anguilla,1999,73.69
Anguilla,1999,73.69
Anguilla,1999,73.69
Anguilla,1999,73.69
Anguilla,1999,73.69
Anguilla,1994,75.17
Anguilla,1994,75.17
Anguilla,1994,75.17
Anguilla,1994,75.17
Anguilla,1994,75.17
Anguilla,1989,73.24
Anguilla,1989,73.24
Anguilla,1989,73.24
Anguilla,1989,73.24
Anguilla,1989,73.24
Anguilla,1984,72.17
Anguilla,1984,72.17
Anguilla,1984,72.17
Anguilla,1984,72.17
Anguilla,1984,72.17
Anguilla,1980,79.16
Anguilla,1980,79.16
Anguilla,1980,79.16
Anguilla,1980,79.16
Anguilla,1980,79.16
Anguilla,1976,71.67
Anguilla,1976,71.67
Anguilla,1976,71.67
Anguilla,1976,71.67
Anguilla,1976,71.67
Anguilla,1972,46.92
Anguilla,1972,46.92
Anguilla,1972,46.92
Anguilla,1972,46.92
Anguilla,1972,46.92
Antigua and Barbuda,2014,90.27
Antigua and Barbuda,2009,80.27
Antigua and Barbuda,2004,91.19
Antigua and Barbuda,2004,91.19
Antigua and Barbuda,2004,91.19
Antigua and Barbuda,2004,91.19
Antigua and Barbuda,2004,91.19
Antigua and Barbuda,1999,63.6
Antigua and Barbuda,1999,63.6
Antigua and Barbuda,1999,63.6
Antigua and Barbuda,1999,63.6
Antigua and Barbuda,1999,63.6
Antigua and Barbuda,1994,62.32
Antigua and Barbuda,1994,62.32
Antigua and Barbuda,1994,62.32
Antigua and Barbuda,1994,62.32
Antigua and Barbuda,1994,62.32
Antigua and Barbuda,1989,60.72
Antigua and Barbuda,1989,60.72
Antigua and Barbuda,1989,60.72
Antigua and Barbuda,1989,60.72
Antigua and Barbuda,1989,60.72
Antigua and Barbuda,1984,61.12
Antigua and Barbuda,1984,61.12
Antigua and Barbuda,1984,61.12
Antigua and Barbuda,1984,61.12
Antigua and Barbuda,1984,61.12
Antigua and Barbuda,1980,77.08
